"stockId","brand","modelNumber","serialNumber","condition","boxIncluded","papersIncluded","notes","wholesalePriceUSD","paperDate","dialType","braceletType","braceletLinkCount","primaryImage","image2","image3","image4","image5","enableOffers","enableOrders","minimumOffer","shippingMethod","paymentMethod"
"14972","Hermes","CC3.771","3518403","Pre-owned","false","false","14500","11500","","Non-Numeric Hour Marks","Leather","","https://swissmadecorp.com/images/hermes-cape-cod-37mm-cc3771-18k-rose-gold-womens-watch-Vi8ClSiGaL.jpg","","","","","false","false","","",""
"14994","Rolex","68278","8525100","Pre-owned","false","false","","15500","1991","Non-Numeric Hour Marks","18K Yellow Gold","","https://swissmadecorp.com/images/rolex-datejust-31mm-68278-18k-yellow-gold-womens-watch-rFSRn9s0Hk.jpg","","","","","false","false","","",""
"15019","Rolex","126234","53G828W3","New (old stock)","true","true","","13500","2022","Roman Numerals","Oyster","","https://swissmadecorp.com/images/rolex-datejust-126234-61847.jpg","","","","","false","false","","",""
"15191","Hublot","361.CM.7170.LR.1204","1342899  H854","Pre-owned","false","true","","7500","","Arabic Numerals","Leather","","https://swissmadecorp.com/images/hublot-big-bang-38mm-361cm7170lr1204-stainless-steel-unisex-watch-58yIujRWex.jpg","","","","","false","false","","",""
"15268","Hermes","GA!.171","3694722","Pre-owned","false","true","","12000","","No Hour Marks","Leather","","https://swissmadecorp.com/images/hermes-galop-dhermes-32mm-ga171-18k-rose-gold-womens-watch-Z0au4De7UH.jpg","https://swissmadecorp.com/images/hermes-galop-dhermes-32mm-ga171-18k-rose-gold-womens-watch-UbHbGvtbUn.jpg","https://swissmadecorp.com/images/hermes-galop-dhermes-32mm-ga171-18k-rose-gold-womens-watch-lJueGQPM5u.jpg","https://swissmadecorp.com/images/hermes-galop-dhermes-32mm-ga171-18k-rose-gold-womens-watch-HrEiQ098fv.jpg","","false","false","","",""
"15439","Hermes","AR7.C93","3721869","Pre-owned","true","true","18500","15500","","Non-Numeric Hour Marks","Leather","","https://swissmadecorp.com/images/hermes-arceau-38mm-ar7c93-18k-white-gold-unisex-watch-nMMI80L21G.jpg","https://swissmadecorp.com/images/hermes-arceau-38mm-ar7c93-18k-white-gold-unisex-watch-oKc5iv5B1X.jpg","https://swissmadecorp.com/images/hermes-arceau-38mm-ar7c93-18k-white-gold-unisex-watch-uN4iCPmQ5S.jpg","https://swissmadecorp.com/images/hermes-arceau-38mm-ar7c93-18k-white-gold-unisex-watch-degO6J7Qu5.jpg","https://swissmadecorp.com/images/hermes-arceau-38mm-ar7c93-18k-white-gold-unisex-watch-bo6WF8N6Xl.jpg","false","false","","",""
"15459","Rolex","16220","X661985","Pre-owned","false","false","","5800","1991","Non-Numeric Hour Marks","Jubilee","","https://swissmadecorp.com/images/rolex-datejust-36mm-16220-stainless-steel-mens-watch-5eUhqFCOdM.jpg","","","","","false","false","","",""
"15556","Rolex","16710","Y616666","Pre-owned","true","true","","16500","2002","Non-Numeric Hour Marks","Oyster","","https://swissmadecorp.com/images/rolex-gmt-master-ii-40mm-16710-stainless-steel-mens-watch-FRRtxnolaP.jpg","","","","","false","false","","",""
"15854","Rolex","126333","04T6C103","Pre-owned","true","true","","16000","2016","Non-Numeric Hour Marks","Oyster","","https://swissmadecorp.com/images/rolex-datejust-126333-29987.jpg","","","","","false","false","","",""
"15892","Rolex","16710","D887561","Pre-owned","false","true","","15000","2001","Non-Numeric Hour Marks","Oyster","","https://swissmadecorp.com/images/rolex-gmt-master-ii-40mm-16710-stainless-steel-mens-watch-FRRtxnolaP.jpg","","","","","false","false","","",""
