id,title,description,link,image_link,availability,expiration_date,price,google_product_category,brand,MPN,identifier_exists,condition,age_group,color,gender,material,shipping,tax
10660,"Rolex Daytona 40mm 116520 Stainless Steel Mens Watch","Pre-owned Men's Rolex Daytona 40mm 116520 oyster strap, stainless steel bezel, on black face watch. 10660",https://swissmadecorp.com/product-details/rolex-daytona-116520-black-ikrzs-51786,https://swissmadecorp.com/images/rolex-daytona-116520-52090.jpg,in_stock,,"25750.00 USD",201,Rolex,116520,false,used,adult,Black,female,"Stainless Steel","US:NY:Overnight:79.00 USD",US:NY:8.875:n
10810,"Rolex Sky-Dweller 42mm 326934 Stainless Steel Mens Watch","New / Unworn Men's Rolex Sky-Dweller 42mm 326934 oyster strap, stainless steel bezel, on white face watch. 10810",https://swissmadecorp.com/product-details/rolex-sky-dweller-326934-white-kelzs-36166,https://swissmadecorp.com/images/rolex-sky-dweller-326934-18278.jpg,in_stock,,"22145.00 USD",201,Rolex,326934,false,new,adult,White,female,"Stainless Steel","US:NY:Overnight:79.00 USD",US:NY:8.875:n
11486,"Breitling Navitimer 8 43mm AB0117131B1A1 Stainless Steel Mens Watch","New Men's Breitling Navitimer 8 43mm AB0117131B1A1 stainless steel strap, stainless steel bezel, on black face watch. 11486",https://swissmadecorp.com/product-details/breitling-navitimer-8-ab0117131b1a1-black-nono-55069,https://swissmadecorp.com/images/breitling-navitimer-8-43mm-ab0117131b1a1-stainless-steel-mens-watch-97445.jpg,in_stock,,"5410.00 USD",201,Rolex,AB0117131B1A1,false,used,adult,Black,female,"Stainless Steel","US:NY:Overnight:79.00 USD",US:NY:8.875:n
11501,"Breitling Aviator 8 B01 Curtis Warhawk 43mm AB01192A1L1A1 Stainless Steel Mens Watch","New / Unworn Men's Breitling Aviator 8 B01 Curtis Warhawk 43mm AB01192A1L1A1 stainless steel strap, stainless steel bezel, on green face watch. 11501",https://swissmadecorp.com/product-details/breitling-aviator-8-b01-curtis-warhawk-ab01192a1l1a1-green-gkzs-56367,https://swissmadecorp.com/images/breitling-aviator-8-b01-curtis-warhawk-ab01192a1l1a1-63318.jpg,in_stock,,"5913.00 USD",201,Rolex,AB01192A1L1A1,false,new,adult,Green,female,"Stainless Steel","US:NY:Overnight:79.00 USD",US:NY:8.875:n
11746,"Rolex Sky-Dweller 42mm 326934 Stainless Steel Mens Watch","New / Unworn Men's Rolex SkyDweller 42mm 326934 oyster strap, stainless steel bezel, on black face watch. 11746",https://swissmadecorp.com/product-details/rolex-sky-dweller-326934-black-izszs-40543,https://swissmadecorp.com/images/rolex-sky-dweller-326934-15525.jpg,in_stock,,"22660.00 USD",201,Rolex,326934,false,new,adult,Black,female,"Stainless Steel","US:NY:Overnight:79.00 USD",US:NY:8.875:n
11828,"Rolex GMT-MASTER II 40mm 16710 Stainless Steel Mens Watch","Pre-owned  Rolex GMTMASTER II 40mm 16710 oyster strap, stainless steel bezel, on black face watch.",https://swissmadecorp.com/product-details/rolex-gmt-master-ii-16710-black-kzrzs-29900,https://swissmadecorp.com/images/rolex-gmt-master-ii-16710-99999.jpg,in_stock,,"16995.00 USD",201,Rolex,16710,false,used,adult,Black,female,"Stainless Steel","US:NY:Overnight:79.00 USD",US:NY:8.875:n
11834,"Rolex Submariner 40mm 5513 Stainless Steel Mens Watch","Pre-owned Men's Rolex Submariner 40mm 5513 oyster strap, stainless steel bezel, on black face watch. 11834",https://swissmadecorp.com/product-details/rolex-submariner-5513-black-knzrz-94587,https://swissmadecorp.com/images/rolex-submariner-5513-55343.jpg,in_stock,,"20240.00 USD",201,Rolex,5513,false,used,adult,Black,female,"Stainless Steel","US:NY:Overnight:79.00 USD",US:NY:8.875:n
11980,"Rolex Sky-Dweller 42mm 326934 Stainless Steel Mens Watch","New / Unworn Men's Rolex SkyDweller 42mm 326934 oyster strap, stainless steel bezel, on white face watch. 11980",https://swissmadecorp.com/product-details/rolex-sky-dweller-326934-white-kxzsz-14656,https://swissmadecorp.com/images/rolex-sky-dweller-42mm-326934-stainless-steel-mens-watch-51375.jpg,in_stock,,"22145.00 USD",201,Rolex,326934,false,new,adult,White,female,"Stainless Steel","US:NY:Overnight:79.00 USD",US:NY:8.875:n
12318,"Hublot Classic Fusion Chronograph 42mm 541.NX.7170.LR Titanium Mens Watch","Pre-owned Men's Hublot Classic Fusion Chronograph 42mm 541.NX.7170.LR leather strap, titanium bezel, on blue face watch. 12318",https://swissmadecorp.com/product-details/hublot-classic-fusion-chronograph-541-nx-7170-lr-blue-ozsz-56692,https://swissmadecorp.com/images/hublot-classic-fusion-chronograph-541nx7170lr-76002.jpg,out_of_stock,2026-07-28T06:00-0400,"7931.00 USD",201,Rolex,541.NX.7170.LR,false,used,adult,Blue,female,Titanium,"US:NY:Overnight:79.00 USD",US:NY:8.875:n
13089,"Rolex GMT-MASTER II 40mm 16760 Stainless Steel Mens Watch","Pre-owned Men's Rolex GMTMASTER II 40mm 16760 oyster strap, stainless steel bezel, on black face watch. 13089",https://swissmadecorp.com/product-details/rolex-gmt-master-ii-16760-black-kzszs-27090,https://swissmadecorp.com/images/rolex-gmt-master-ii-16760-40212.jpg,in_stock,,"13905.00 USD",201,Rolex,16760,false,used,adult,Black,female,"Stainless Steel","US:NY:Overnight:79.00 USD",US:NY:8.875:n
